"","Country","Year","OutOfWedlock"
"1","Australia",1990,21.9
"2","Australia",1991,23
"3","Australia",1992,24
"4","Australia",1993,24.9
"5","Australia",1994,25.6
"6","Australia",1995,26.6
"7","Australia",1996,27.4
"8","Australia",1997,28.1
"9","Australia",1998,28.7
"10","Australia",1999,29.2
"11","Australia",2000,29.3
"12","Australia",2001,30.7
"13","Australia",2002,31.3
"14","Australia",2003,31.6
"15","Australia",2004,32.2
"16","Australia",2005,32.2
"17","Australia",2006,32.7
"18","Australia",2007,33.3
"19","Australia",2008,34.3
"20","Australia",2009,34.5
"21","Australia",2010,33.8
"22","Australia",2011,34.2
"23","Australia",2012,34.5
"24","Australia",2013,34.4
"25","Australia",2014,34.4
"26","Austria",1990,23.6
"27","Austria",1991,24.8
"28","Austria",1992,25.2
"29","Austria",1993,26.3
"30","Austria",1994,26.8
"31","Austria",1995,27.4
"32","Austria",1996,28
"33","Austria",1997,28.8
"34","Austria",1998,29.5
"35","Austria",1999,30.5
"36","Austria",2000,31.3
"37","Austria",2001,33.1
"38","Austria",2002,33.8
"39","Austria",2003,35.3
"40","Austria",2004,35.9
"41","Austria",2005,36.5
"42","Austria",2006,37.2
"43","Austria",2007,38.3
"44","Austria",2008,38.8
"45","Austria",2009,39.3
"46","Austria",2010,40.1
"47","Austria",2011,40.4
"48","Austria",2012,41.5
"49","Belgium",1990,11.6
"50","Belgium",1991,12.6
"51","Belgium",1992,13.6
"52","Belgium",1993,14.5
"53","Belgium",1994,15.8
"54","Belgium",1995,17.3
"55","Belgium",1996,19.1
"56","Belgium",1997,21
"57","Belgium",1998,23.2
"58","Belgium",1999,25.5
"59","Belgium",2000,28
"60","Belgium",2001,30.2
"61","Belgium",2002,32.5
"62","Belgium",2003,34.7
"63","Belgium",2004,36.9
"64","Belgium",2005,39.4
"65","Belgium",2006,40.9
"66","Belgium",2007,43.2
"67","Belgium",2008,44.6
"68","Belgium",2009,45.5
"69","Belgium",2010,45.7
"70","Belgium",2011,50
"71","Belgium",2012,52.3
"72","Bulgaria",1990,12.4
"73","Bulgaria",1991,15.5
"74","Bulgaria",1992,18.5
"75","Bulgaria",1993,22.1
"76","Bulgaria",1994,24.5
"77","Bulgaria",1995,25.7
"78","Bulgaria",1996,28.1
"79","Bulgaria",1997,30
"80","Bulgaria",1998,31.5
"81","Bulgaria",1999,35.1
"82","Bulgaria",2000,38.4
"83","Bulgaria",2001,42
"84","Bulgaria",2002,42.8
"85","Bulgaria",2003,46.1
"86","Bulgaria",2004,48.7
"87","Bulgaria",2005,49
"88","Bulgaria",2006,50.8
"89","Bulgaria",2007,50.2
"90","Bulgaria",2008,51.1
"91","Bulgaria",2009,53.4
"92","Bulgaria",2010,54.1
"93","Bulgaria",2011,56.1
"94","Bulgaria",2012,57.4
"95","Bulgaria",2013,59.1
"96","Bulgaria",2014,58.8
"97","Canada",1991,27
"98","Canada",1992,28.2
"99","Canada",1993,29.2
"100","Canada",1994,29.6
"101","Canada",1995,30.5
"102","Canada",1996,30.9
"103","Canada",1997,31.4
"104","Canada",1998,31.3
"105","Canada",1999,31.2
"106","Canada",2000,31.7
"107","Canada",2001,31.4
"108","Canada",2002,31.6
"109","Canada",2003,29.2
"110","Canada",2004,28.8
"111","Canada",2005,29.1
"112","Canada",2006,30.6
"113","Canada",2007,31
"114","Canada",2008,32.1
"115","Canada",2009,32.2
"116","Canada",2010,32.3
"117","Canada",2011,33.4
"118","Canada",2012,33
"119","Chile",2002,52.2
"120","Chile",2003,55.6134057971021
"121","Chile",2004,57.3326086956527
"122","Chile",2005,59.0518115942036
"123","Chile",2006,61.2
"124","Chile",2007,63.1
"125","Chile",2008,65.1
"126","Chile",2009,67.4
"127","Chile",2010,68.5
"128","Chile",2011,69.3
"129","Chile",2012,70.3
"130","Chile",2013,71.1
"131","Costa Rica",1990,38.5
"132","Costa Rica",1991,40.3
"133","Costa Rica",1992,40.6
"134","Costa Rica",1993,42.1
"135","Costa Rica",1994,44.7
"136","Costa Rica",1995,45.9
"137","Costa Rica",1996,47.1
"138","Costa Rica",1997,47.9
"139","Costa Rica",1998,49.3
"140","Costa Rica",1999,51.1
"141","Costa Rica",2000,52.7
"142","Costa Rica",2001,53.5
"143","Costa Rica",2002,55.3
"144","Costa Rica",2003,57
"145","Costa Rica",2004,58.9
"146","Costa Rica",2005,60.2
"147","Costa Rica",2006,61.4
"148","Costa Rica",2007,63.1
"149","Costa Rica",2008,64.6
"150","Costa Rica",2009,66.6
"151","Costa Rica",2010,67.4
"152","Costa Rica",2011,68.2
"153","Costa Rica",2012,69.4
"154","Costa Rica",2013,69.3
"155","Costa Rica",2014,69.4
"156","Croatia",1990,7
"157","Croatia",1991,7.5
"158","Croatia",1992,7.7
"159","Croatia",1993,7.7
"160","Croatia",1994,7.6
"161","Croatia",1995,7.5
"162","Croatia",1996,7.1
"163","Croatia",1997,7.3
"164","Croatia",1998,8.1
"165","Croatia",1999,8.2
"166","Croatia",2000,9
"167","Croatia",2001,9.4
"168","Croatia",2002,9.6
"169","Croatia",2003,10.1
"170","Croatia",2004,10.4
"171","Croatia",2005,10.5
"172","Croatia",2006,11
"173","Croatia",2007,11.5
"174","Croatia",2008,12
"175","Croatia",2009,12.9
"176","Croatia",2010,13.3
"177","Croatia",2011,14
"178","Croatia",2012,15.4
"179","Croatia",2013,16.1
"180","Croatia",2014,17.4
"181","Cyprus",1990,0.7
"182","Cyprus",1991,0.8
"183","Cyprus",1992,1.1
"184","Cyprus",1993,0.8
"185","Cyprus",1994,1
"186","Cyprus",1995,1.4
"187","Cyprus",1996,1.5
"188","Cyprus",1997,1.6
"189","Cyprus",1998,2.1
"190","Cyprus",1999,2.2
"191","Cyprus",2000,2.3
"192","Cyprus",2001,2.5
"193","Cyprus",2002,3.5
"194","Cyprus",2003,3.5
"195","Cyprus",2004,3.3
"196","Cyprus",2005,4.4
"197","Cyprus",2006,5.6
"198","Cyprus",2007,8.7
"199","Cyprus",2008,8.9
"200","Cyprus",2009,11.7
"201","Cyprus",2010,15.2
"202","Cyprus",2011,16.9
"203","Cyprus",2012,18.6
"204","Czech Republic",1990,8.6
"205","Czech Republic",1991,9.8
"206","Czech Republic",1992,10.7
"207","Czech Republic",1993,12.7
"208","Czech Republic",1994,14.5
"209","Czech Republic",1995,15.6
"210","Czech Republic",1996,16.9
"211","Czech Republic",1997,17.8
"212","Czech Republic",1998,19
"213","Czech Republic",1999,20.6
"214","Czech Republic",2000,21.8
"215","Czech Republic",2001,23.5
"216","Czech Republic",2002,25.3
"217","Czech Republic",2003,28.5
"218","Czech Republic",2004,30.6
"219","Czech Republic",2005,31.7
"220","Czech Republic",2006,33.3
"221","Czech Republic",2007,34.5
"222","Czech Republic",2008,36.3
"223","Czech Republic",2009,38.8
"224","Czech Republic",2010,40.3
"225","Czech Republic",2011,41.8
"226","Czech Republic",2012,43.4
"227","Czech Republic",2013,45
"228","Czech Republic",2014,46.7
"229","Denmark",1990,46.4
"230","Denmark",1991,46.5
"231","Denmark",1992,46.4
"232","Denmark",1993,46.8
"233","Denmark",1994,46.9
"234","Denmark",1995,46.5
"235","Denmark",1996,46.3
"236","Denmark",1997,45.1
"237","Denmark",1998,44.8
"238","Denmark",1999,44.9
"239","Denmark",2000,44.6
"240","Denmark",2001,44.6
"241","Denmark",2002,44.6
"242","Denmark",2003,44.9
"243","Denmark",2004,45.4
"244","Denmark",2005,45.7
"245","Denmark",2006,46.4
"246","Denmark",2007,46.1
"247","Denmark",2008,46.2
"248","Denmark",2009,46.8
"249","Denmark",2010,47.3
"250","Denmark",2011,49
"251","Denmark",2012,50.6
"252","Denmark",2013,51.5
"253","Denmark",2014,52.5
"254","Estonia",1990,27.2
"255","Estonia",1991,31.2
"256","Estonia",1992,33.9
"257","Estonia",1993,38.2
"258","Estonia",1994,41
"259","Estonia",1995,44.2
"260","Estonia",1996,48.1
"261","Estonia",1997,51.6
"262","Estonia",1998,52.5
"263","Estonia",1999,54.2
"264","Estonia",2000,54.5
"265","Estonia",2001,56.2
"266","Estonia",2002,56.3
"267","Estonia",2003,57.8
"268","Estonia",2004,58
"269","Estonia",2005,58.5
"270","Estonia",2006,58.2
"271","Estonia",2007,57.8
"272","Estonia",2008,59
"273","Estonia",2009,59.2
"274","Estonia",2010,59.1
"275","Estonia",2011,59.7
"276","Estonia",2012,58.4
"277","Finland",1990,25.2
"278","Finland",1991,27.4
"279","Finland",1992,28.9
"280","Finland",1993,30.3
"281","Finland",1994,31.3
"282","Finland",1995,33.1
"283","Finland",1996,35.4
"284","Finland",1997,36.5
"285","Finland",1998,37.2
"286","Finland",1999,38.7
"287","Finland",2000,39.2
"288","Finland",2001,39.5
"289","Finland",2002,39.9
"290","Finland",2003,40
"291","Finland",2004,40.8
"292","Finland",2005,40.4
"293","Finland",2006,40.5
"294","Finland",2007,40.6
"295","Finland",2008,40.7
"296","Finland",2009,40.9
"297","Finland",2010,41.1
"298","Finland",2011,40.9
"299","Finland",2012,41.5
"300","Finland",2013,42.1
"301","Finland",2014,42.8
"302","France",1998,41.7
"303","France",1999,42.7
"304","France",2000,43.6
"305","France",2001,44.7
"306","France",2002,45.2
"307","France",2003,46.2
"308","France",2004,47.4
"309","France",2005,48.4
"310","France",2006,50.5
"311","France",2007,51.7
"312","France",2008,52.6
"313","France",2009,53.7
"314","France",2010,55
"315","France",2011,55.8
"316","France",2012,56.7
"317","Germany",1990,15.3
"318","Germany",1991,15.1
"319","Germany",1992,14.9
"320","Germany",1993,14.8
"321","Germany",1994,15.4
"322","Germany",1995,16.1
"323","Germany",1996,17
"324","Germany",1997,18
"325","Germany",1998,20
"326","Germany",1999,22.1
"327","Germany",2000,23.4
"328","Germany",2001,25
"329","Germany",2002,26.1
"330","Germany",2003,27
"331","Germany",2004,27.9
"332","Germany",2005,29.2
"333","Germany",2006,30
"334","Germany",2007,30.8
"335","Germany",2008,32.1
"336","Germany",2009,32.7
"337","Germany",2010,33.3
"338","Germany",2011,33.9
"339","Germany",2012,34.5
"340","Germany",2013,34.8
"341","Germany",2014,35
"342","Greece",1990,2.2
"343","Greece",1991,2.4
"344","Greece",1992,2.6
"345","Greece",1993,2.8
"346","Greece",1994,2.9
"347","Greece",1995,3
"348","Greece",1996,3.3
"349","Greece",1997,3.5
"350","Greece",1998,3.8
"351","Greece",1999,3.9
"352","Greece",2000,4
"353","Greece",2001,4.3
"354","Greece",2002,4.4
"355","Greece",2003,4.8
"356","Greece",2004,5.1
"357","Greece",2005,5.1
"358","Greece",2006,5.3
"359","Greece",2007,5.8
"360","Greece",2008,5.9
"361","Greece",2009,6.6
"362","Greece",2010,7.3
"363","Greece",2011,7.4
"364","Greece",2012,7.6
"365","Greece",2013,7
"366","Greece",2014,8.2
"367","Hungary",1990,13.1
"368","Hungary",1991,14.1
"369","Hungary",1992,15.6
"370","Hungary",1993,17.6
"371","Hungary",1994,19.4
"372","Hungary",1995,20.7
"373","Hungary",1996,22.6
"374","Hungary",1997,25
"375","Hungary",1998,26.6
"376","Hungary",1999,28
"377","Hungary",2000,29
"378","Hungary",2001,30.3
"379","Hungary",2002,31.4
"380","Hungary",2003,32.3
"381","Hungary",2004,34
"382","Hungary",2005,35
"383","Hungary",2006,35.6
"384","Hungary",2007,37.5
"385","Hungary",2008,39.5
"386","Hungary",2009,40.8
"387","Hungary",2010,40.8
"388","Hungary",2011,42.3
"389","Hungary",2012,44.5
"390","Hungary",2013,45.6
"391","Hungary",2014,47.3
"392","Iceland",1990,55.2
"393","Iceland",1991,56.4
"394","Iceland",1992,57.3
"395","Iceland",1993,58.3
"396","Iceland",1994,59.6
"397","Iceland",1995,60.9
"398","Iceland",1996,60.7
"399","Iceland",1997,65.2
"400","Iceland",1998,64
"401","Iceland",1999,62.4
"402","Iceland",2000,65.2
"403","Iceland",2001,63
"404","Iceland",2002,62.3
"405","Iceland",2003,63.6
"406","Iceland",2004,63.7
"407","Iceland",2005,65.7
"408","Iceland",2006,65.6
"409","Iceland",2007,63.8
"410","Iceland",2008,64.1
"411","Iceland",2009,64.4
"412","Iceland",2010,64.3
"413","Iceland",2011,65
"414","Iceland",2012,66.9
"415","Ireland",1990,14.6
"416","Ireland",1991,16.9
"417","Ireland",1992,18
"418","Ireland",1993,19.9
"419","Ireland",1994,20.8
"420","Ireland",1995,22.3
"421","Ireland",1996,25.3
"422","Ireland",1997,26.8
"423","Ireland",1998,28.7
"424","Ireland",1999,31.1
"425","Ireland",2000,31.5
"426","Ireland",2001,31.3
"427","Ireland",2002,31.2
"428","Ireland",2003,31.2
"429","Ireland",2004,31.9
"430","Ireland",2005,31.8
"431","Ireland",2006,32.7
"432","Ireland",2007,33.1
"433","Ireland",2008,33.4
"434","Ireland",2009,33.4
"435","Ireland",2010,33.8
"436","Ireland",2011,33.9
"437","Ireland",2012,35.1
"438","Israel",2002,5.3
"439","Israel",2003,5.8
"440","Israel",2004,5.6
"441","Israel",2005,5.5
"442","Israel",2006,5.6
"443","Israel",2007,5.6
"444","Israel",2008,5.7
"445","Israel",2009,5.8
"446","Israel",2010,5.8
"447","Israel",2011,6
"448","Israel",2012,5.8
"449","Israel",2013,6.1
"450","Israel",2014,6.3
"451","Italy",1990,6.5
"452","Italy",1991,6.7
"453","Italy",1992,6.7
"454","Italy",1993,7.4
"455","Italy",1994,7.8
"456","Italy",1995,8.1
"457","Italy",1996,8.3
"458","Italy",1997,7
"459","Italy",1998,8.7
"460","Italy",1999,9.2
"461","Italy",2000,9.7
"462","Italy",2001,9.9
"463","Italy",2002,10.9
"464","Italy",2003,13
"465","Italy",2004,15.7635048231507
"466","Italy",2005,15.2
"467","Italy",2006,16.2
"468","Italy",2007,17.7
"469","Italy",2008,18.9
"470","Italy",2009,19.8
"471","Italy",2010,21.5
"472","Italy",2011,23.4
"473","Italy",2012,24.5
"474","Italy",2013,26.9
"475","Italy",2014,28.8
"476","Japan",1990,1.1
"477","Japan",1991,1.19577127659574
"478","Japan",1992,1.24668439716311
"479","Japan",1993,1.29759751773048
"480","Japan",1994,1.34851063829785
"481","Japan",1995,1.2
"482","Japan",1996,1.45033687943261
"483","Japan",1997,1.50124999999998
"484","Japan",1998,1.55216312056736
