"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","2014",1682.69995117187,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1682.90002441406,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1672.19995117187,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1675.90002441406,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1492,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1477,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1488,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1487,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1555,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1545,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1546,
"CAN","HRWKD","TOT","HR_WKD","A","2014",1706,
"CAN","HRWKD","TOT","HR_WKD","A","2015",1711,
"CAN","HRWKD","TOT","HR_WKD","A","2016",1706,
"CAN","HRWKD","TOT","HR_WKD","A","2017",1695,
"CZE","HRWKD","TOT","HR_WKD","A","2014",1777,
"CZE","HRWKD","TOT","HR_WKD","A","2015",1756,
"CZE","HRWKD","TOT","HR_WKD","A","2016",1778,
"CZE","HRWKD","TOT","HR_WKD","A","2017",1776,
"DNK","HRWKD","TOT","HR_WKD","A","2014",1414,
"DNK","HRWKD","TOT","HR_WKD","A","2015",1407,
"DNK","HRWKD","TOT","HR_WKD","A","2016",1414,
"DNK","HRWKD","TOT","HR_WKD","A","2017",1408,
"FIN","HRWKD","TOT","HR_WKD","A","2014",1537,
"FIN","HRWKD","TOT","HR_WKD","A","2015",1537,
"FIN","HRWKD","TOT","HR_WKD","A","2016",1535,
"FIN","HRWKD","TOT","HR_WKD","A","2017",1531,
"FRA","HRWKD","TOT","HR_WKD","A","2014",1508.97,
"FRA","HRWKD","TOT","HR_WKD","A","2015",1509.43,
"FRA","HRWKD","TOT","HR_WKD","A","2016",1502.73,
"FRA","HRWKD","TOT","HR_WKD","A","2017",1514,
"DEU","HRWKD","TOT","HR_WKD","A","2014",1367.59999999999,
"DEU","HRWKD","TOT","HR_WKD","A","2015",1367.8,
"DEU","HRWKD","TOT","HR_WKD","A","2016",1363.4,
"DEU","HRWKD","TOT","HR_WKD","A","2017",1356,
"GRC","HRWKD","TOT","HR_WKD","A","2014",1883,
"GRC","HRWKD","TOT","HR_WKD","A","2015",1893,
"GRC","HRWKD","TOT","HR_WKD","A","2016",1892,
"GRC","HRWKD","TOT","HR_WKD","A","2017",1906,
"HUN","HRWKD","TOT","HR_WKD","A","2014",1751.59999999999,
"HUN","HRWKD","TOT","HR_WKD","A","2015",1748.9,
"HUN","HRWKD","TOT","HR_WKD","A","2016",1759.4,
"HUN","HRWKD","TOT","HR_WKD","A","2017",1740.4,
"ISL","HRWKD","TOT","HR_WKD","A","2014",1498,
"ISL","HRWKD","TOT","HR_WKD","A","2015",1498,
"ISL","HRWKD","TOT","HR_WKD","A","2016",1482,
"ISL","HRWKD","TOT","HR_WKD","A","2017",1461,
"IRL","HRWKD","TOT","HR_WKD","A","2014",1731,
"IRL","HRWKD","TOT","HR_WKD","A","2015",1741,
"IRL","HRWKD","TOT","HR_WKD","A","2016",1739,
"IRL","HRWKD","TOT","HR_WKD","A","2017",1738,
"ITA","HRWKD","TOT","HR_WKD","A","2014",1717.14,
"ITA","HRWKD","TOT","HR_WKD","A","2015",1718,
"ITA","HRWKD","TOT","HR_WKD","A","2016",1724.42,
"ITA","HRWKD","TOT","HR_WKD","A","2017",1722.60999999999,
"JPN","HRWKD","TOT","HR_WKD","A","2014",1729,
"JPN","HRWKD","TOT","HR_WKD","A","2015",1719,
"JPN","HRWKD","TOT","HR_WKD","A","2016",1714,
"JPN","HRWKD","TOT","HR_WKD","A","2017",1710,
"KOR","HRWKD","TOT","HR_WKD","A","2014",2067,
"KOR","HRWKD","TOT","HR_WKD","A","2015",2084,
"KOR","HRWKD","TOT","HR_WKD","A","2016",2071,
"KOR","HRWKD","TOT","HR_WKD","A","2017",2024,
"LUX","HRWKD","TOT","HR_WKD","A","2014",1508,
"LUX","HRWKD","TOT","HR_WKD","A","2015",1521,
"LUX","HRWKD","TOT","HR_WKD","A","2016",1519,
"LUX","HRWKD","TOT","HR_WKD","A","2017",1518,
"MEX","HRWKD","TOT","HR_WKD","A","2014",2242.19999999999,
"MEX","HRWKD","TOT","HR_WKD","A","2015",2248.3,
"MEX","HRWKD","TOT","HR_WKD","A","2016",2254.59999999999,
"MEX","HRWKD","TOT","HR_WKD","A","2017",2257.4,
"NLD","HRWKD","TOT","HR_WKD","A","2014",1429,
"NLD","HRWKD","TOT","HR_WKD","A","2015",1424,
"NLD","HRWKD","TOT","HR_WKD","A","2016",1437,
"NLD","HRWKD","TOT","HR_WKD","A","2017",1433,
"NZL","HRWKD","TOT","HR_WKD","A","2014",1762,
"NZL","HRWKD","TOT","HR_WKD","A","2015",1757,
"NZL","HRWKD","TOT","HR_WKD","A","2016",1752,
"NZL","HRWKD","TOT","HR_WKD","A","2017",1753,
"NOR","HRWKD","TOT","HR_WKD","A","2014",1426.9,
"NOR","HRWKD","TOT","HR_WKD","A","2015",1423.9,
"NOR","HRWKD","TOT","HR_WKD","A","2016",1424.4,
"NOR","HRWKD","TOT","HR_WKD","A","2017",1419.09999999999,
"POL","HRWKD","TOT","HR_WKD","A","2014",1824,
"POL","HRWKD","TOT","HR_WKD","A","2015",1831,
"POL","HRWKD","TOT","HR_WKD","A","2016",1832,
"POL","HRWKD","TOT","HR_WKD","A","2017",1812,
"PRT","HRWKD","TOT","HR_WKD","A","2014",1705,
"PRT","HRWKD","TOT","HR_WKD","A","2015",1713,
"PRT","HRWKD","TOT","HR_WKD","A","2016",1716,
"PRT","HRWKD","TOT","HR_WKD","A","2017",1718,
"SVK","HRWKD","TOT","HR_WKD","A","2014",1760,
"SVK","HRWKD","TOT","HR_WKD","A","2015",1754,
"SVK","HRWKD","TOT","HR_WKD","A","2016",1740,
"SVK","HRWKD","TOT","HR_WKD","A","2017",1714,
"ESP","HRWKD","TOT","HR_WKD","A","2014",1694.59999999999,
"ESP","HRWKD","TOT","HR_WKD","A","2015",1699.5,
"ESP","HRWKD","TOT","HR_WKD","A","2016",1701.4,
"ESP","HRWKD","TOT","HR_WKD","A","2017",1686.5,
"SWE","HRWKD","TOT","HR_WKD","A","2014",1453,
"SWE","HRWKD","TOT","HR_WKD","A","2015",1454,
"SWE","HRWKD","TOT","HR_WKD","A","2016",1465,
"SWE","HRWKD","TOT","HR_WKD","A","2017",1453,
"CHE","HRWKD","TOT","HR_WKD","A","2014",1575,
"CHE","HRWKD","TOT","HR_WKD","A","2015",1589,
"CHE","HRWKD","TOT","HR_WKD","A","2016",1590,
"CHE","HRWKD","TOT","HR_WKD","A","2017",1570,
"TUR","HRWKD","TOT","HR_WKD","A","2014",1832,
"TUR","HRWKD","TOT","HR_WKD","A","2015",1832,
"GBR","HRWKD","TOT","HR_WKD","A","2014",1517,
"GBR","HRWKD","TOT","HR_WKD","A","2015",1501,
"GBR","HRWKD","TOT","HR_WKD","A","2016",1515,
"GBR","HRWKD","TOT","HR_WKD","A","2017",1514,
"USA","HRWKD","TOT","HR_WKD","A","2014",1784,
"USA","HRWKD","TOT","HR_WKD","A","2015",1785,
"USA","HRWKD","TOT","HR_WKD","A","2016",1781,
"USA","HRWKD","TOT","HR_WKD","A","2017",1780,
"CHL","HRWKD","TOT","HR_WKD","A","2014",1990,
"CHL","HRWKD","TOT","HR_WKD","A","2015",1988,
"CHL","HRWKD","TOT","HR_WKD","A","2016",1974,
"CHL","HRWKD","TOT","HR_WKD","A","2017",1954,
"EST","HRWKD","TOT","HR_WKD","A","2014",1816,
"EST","HRWKD","TOT","HR_WKD","A","2015",1809,
"EST","HRWKD","TOT","HR_WKD","A","2016",1812,
"EST","HRWKD","TOT","HR_WKD","A","2017",1813,
"ISR","HRWKD","TOT","HR_WKD","A","2014",1853,
"ISR","HRWKD","TOT","HR_WKD","A","2015",1858,
"ISR","HRWKD","TOT","HR_WKD","A","2016",1889,
"ISR","HRWKD","TOT","HR_WKD","A","2017",1885,
"RUS","HRWKD","TOT","HR_WKD","A","2014",1985,
"RUS","HRWKD","TOT","HR_WKD","A","2015",1978,
"RUS","HRWKD","TOT","HR_WKD","A","2016",1974,
"RUS","HRWKD","TOT","HR_WKD","A","2017",1980,
"SVN","HRWKD","TOT","HR_WKD","A","2014",1681.9,
"SVN","HRWKD","TOT","HR_WKD","A","2015",1687.9,
"SVN","HRWKD","TOT","HR_WKD","A","2016",1666.9,
"SVN","HRWKD","TOT","HR_WKD","A","2017",1655.09999999999,
"OECD","HRWKD","TOT","HR_WKD","A","2014",1748,
"OECD","HRWKD","TOT","HR_WKD","A","2015",1749,
"OECD","HRWKD","TOT","HR_WKD","A","2016",1749,
"OECD","HRWKD","TOT","HR_WKD","A","2017",1744,
"LVA","HRWKD","TOT","HR_WKD","A","2014",1747,
"LVA","HRWKD","TOT","HR_WKD","A","2015",1714,
"LVA","HRWKD","TOT","HR_WKD","A","2016",1715,
"LVA","HRWKD","TOT","HR_WKD","A","2017",1690,
"LTU","HRWKD","TOT","HR_WKD","A","2014",1598,
"LTU","HRWKD","TOT","HR_WKD","A","2015",1621,
"LTU","HRWKD","TOT","HR_WKD","A","2016",1643,
"LTU","HRWKD","TOT","HR_WKD","A","2017",1607,
"CRI","HRWKD","TOT","HR_WKD","A","2014",2121.69,
"CRI","HRWKD","TOT","HR_WKD","A","2015",2148.17999999999,
"CRI","HRWKD","TOT","HR_WKD","A","2016",2204.65,
"CRI","HRWKD","TOT","HR_WKD","A","2017",2178.92,
